21 1 0.8125 0.75 3.2 3 1 1 2 1 1 2 3 1 3 2 2 2 2 2 3 1 1
22 1 0.375 0.375 3.4 4 3 4 4 2 4 2 4 4 4 3 3 3 4 4 2 4 3
23 1 0.25 0.25 3.1 2 2 2 3 2 2 2 2 2 3 4 2 4 4 4 3 3 3
24 1 0.6875 0.6875 3.1 4 3 4 2 3 4 2 4 3 3 4 4 3 3 3 3 3 2
25 1 0.8125 0.5 3.7 3 4 5 2 4 4 2 5 4 5 4 5 4 4 4 2 1 5
26 1 0.4375 0.25 3.1 3 3 4 3 4 5 3 5 4 4 4 3 2 5 3 2 3 4
27 1 0.5625 0.4375 3.4 3 2 2 3 2 3 1 4 2 2 4 1 2 3 4 2 4 3
28 10 0.5 0.5 2.8 2 2 2 2 2 3 4 3 2 2 4 3 4 4 4 4 4 2
29 1 0.625 0.375 2.3 2 2 2 1 2 2 2 4 2 2 2 1 2 2 4 1 1 2
30 10 0.6875 0.5 3.2 2 2 2 3 4 4 3 4 4 4 4 4 3 3 2 3 4 4
31 10 1 0.875 3.2 4 1 2 3 2 2 2 2 3 4 4 3 4 4 4 2 4 2
32 10 0.5 0.4375 3.4 4 4 4 4 4 4 3 4 3 4 4 4 4 4 3 3 4 3
33 1 0.8125 0.8125 3.1 4 2 3 2 3 3 4 4 4 2 1 3 4 4 3 2 4 2
34 10 0.4375 0.375 3.1 2 2 2 2 3 2 2 1 2 2 4 2 2 2 3 2 2 2
35 1 0.5 0.4375 2.7 2 2 2 2 3 2 3 2 2 2 3 2 4 4 3 3 4 3
36 10 0.6875 0.5625 1.9 4 1 1 2 2 4 1 1 3 4 5 2 1 2 3 1 4 2
37 10 0.5625 0.5 3.4 3 1 2 3 2 3 2 3 2 2 3 2 2 2 4 1 2 1
38 10 0.75 0.625 3.6 4 2 4 4 4 4 4 5 4 4 4 4 4 4 4 2 4 4
39 10 1.3125 0.8125 2.8 5 2 4 1 2 3 4 4 4 2 4 4 3 4 4 2 2 2
40 10 0.875 0.5625 4.2 5 3 2 2 2 3 4 4 5 3 4 3 4 5 4 2 2 1
41 1 0.5 0.3125 3.4 4 2 3 3 3 4 3 3 4 4 3 2 4 4 4 2 4 4
